district,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot,Tot_Tot_total
Richmond,28.0,21.0,3.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,4.0,5.0,0.0,0.0,0.0,18.0,6.0,0.0,0.0,4.0,0.0,0.0,27.0,15.0,3.0,3.0,0.0,0.0,0.0,55.0,44.0,6.0,3.0,0.0,0.0,0.0,107.0,44.0,16.0,5.0,0.0,0.0,0.0,134.0,51.0,9.0,0.0,0.0,0.0,0.0,117.0,78.0,14.0,3.0,0.0,0.0,0.0,168.0,91.0,11.0,0.0,0.0,0.0,0.0,158.0,175.0,62.0,16.0,0.0,7.0,0.0,389.0,63.0,38.0,0.0,7.0,3.0,0.0,152.0,81.0,36.0,0.0,0.0,0.0,0.0,198.0,175.0,96.0,6.0,0.0,0.0,0.0,340.0,402.0,341.0,35.0,9.0,3.0,0.0,957.0,230.0,229.0,12.0,9.0,0.0,0.0,556.0,179.0,282.0,34.0,5.0,0.0,0.0,587.0,56.0,45.0,6.0,0.0,4.0,0.0,246.0,2342.0,1694.0,423.0,191.0,148.0,27.0,4918.0,4918.0
Ringwood,61.0,86.0,29.0,0.0,9.0,0.0,318.0,9.0,3.0,5.0,0.0,0.0,0.0,56.0,15.0,0.0,0.0,0.0,0.0,0.0,91.0,3.0,0.0,9.0,0.0,0.0,0.0,74.0,17.0,23.0,16.0,3.0,1.0,0.0,130.0,20.0,12.0,10.0,4.0,4.0,0.0,196.0,46.0,61.0,28.0,4.0,9.0,3.0,340.0,49.0,93.0,53.0,3.0,8.0,0.0,364.0,68.0,170.0,28.0,3.0,0.0,0.0,463.0,63.0,205.0,63.0,7.0,3.0,0.0,555.0,31.0,176.0,15.0,0.0,0.0,0.0,415.0,197.0,443.0,113.0,6.0,25.0,0.0,961.0,81.0,232.0,6.0,0.0,4.0,0.0,461.0,73.0,264.0,28.0,3.0,3.0,0.0,510.0,128.0,456.0,30.0,0.0,9.0,0.0,882.0,296.0,935.0,109.0,3.0,11.0,0.0,1569.0,76.0,280.0,62.0,0.0,0.0,0.0,541.0,47.0,205.0,19.0,0.0,4.0,0.0,373.0,80.0,169.0,53.0,7.0,3.0,0.0,448.0,2271.0,4732.0,1422.0,304.0,459.0,33.0,9356.0,9356.0
Ripon,72.0,39.0,14.0,3.0,7.0,0.0,206.0,11.0,3.0,3.0,0.0,0.0,0.0,46.0,39.0,27.0,15.0,0.0,3.0,0.0,223.0,36.0,7.0,6.0,4.0,12.0,0.0,174.0,103.0,109.0,36.0,24.0,22.0,0.0,567.0,144.0,219.0,50.0,26.0,25.0,0.0,707.0,161.0,236.0,57.0,32.0,23.0,0.0,695.0,209.0,340.0,69.0,34.0,9.0,0.0,867.0,166.0,316.0,65.0,6.0,0.0,0.0,686.0,159.0,347.0,47.0,14.0,10.0,0.0,735.0,59.0,214.0,9.0,3.0,5.0,0.0,383.0,103.0,224.0,65.0,7.0,0.0,0.0,543.0,25.0,72.0,7.0,0.0,0.0,0.0,149.0,12.0,45.0,10.0,0.0,0.0,0.0,103.0,48.0,127.0,19.0,0.0,0.0,0.0,263.0,42.0,117.0,23.0,0.0,0.0,0.0,223.0,0.0,21.0,0.0,0.0,0.0,0.0,48.0,7.0,10.0,3.0,0.0,0.0,0.0,35.0,85.0,105.0,37.0,0.0,14.0,0.0,391.0,2369.0,3224.0,1113.0,486.0,415.0,17.0,7805.0,7805.0
Rowville,75.0,50.0,93.0,5.0,0.0,0.0,371.0,6.0,3.0,0.0,0.0,0.0,0.0,27.0,12.0,3.0,22.0,4.0,5.0,0.0,95.0,9.0,0.0,20.0,0.0,6.0,0.0,79.0,14.0,21.0,52.0,0.0,16.0,0.0,177.0,15.0,25.0,48.0,0.0,4.0,0.0,278.0,46.0,65.0,86.0,3.0,8.0,0.0,368.0,61.0,146.0,116.0,6.0,18.0,0.0,514.0,66.0,115.0,97.0,0.0,17.0,0.0,459.0,47.0,158.0,85.0,3.0,0.0,0.0,534.0,33.0,146.0,61.0,4.0,6.0,0.0,367.0,149.0,472.0,151.0,0.0,17.0,0.0,997.0,85.0,250.0,58.0,0.0,0.0,0.0,451.0,57.0,218.0,58.0,4.0,0.0,0.0,502.0,144.0,429.0,101.0,0.0,3.0,0.0,829.0,253.0,833.0,209.0,4.0,3.0,0.0,1540.0,36.0,150.0,56.0,4.0,7.0,0.0,415.0,12.0,117.0,45.0,0.0,0.0,0.0,301.0,81.0,181.0,131.0,0.0,17.0,0.0,583.0,2054.0,4218.0,2513.0,246.0,573.0,4.0,9683.0,9683.0
Sandringham,58.0,23.0,46.0,0.0,4.0,0.0,268.0,7.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,2.0,6.0,0.0,0.0,0.0,40.0,0.0,3.0,6.0,0.0,3.0,0.0,29.0,16.0,5.0,0.0,0.0,10.0,0.0,66.0,7.0,11.0,8.0,0.0,0.0,0.0,88.0,37.0,29.0,23.0,0.0,3.0,0.0,208.0,22.0,43.0,14.0,6.0,7.0,0.0,160.0,39.0,45.0,4.0,0.0,8.0,0.0,166.0,59.0,45.0,22.0,0.0,6.0,0.0,264.0,44.0,45.0,17.0,3.0,3.0,0.0,207.0,130.0,215.0,75.0,8.0,6.0,0.0,586.0,40.0,70.0,12.0,3.0,2.0,0.0,223.0,32.0,118.0,8.0,0.0,0.0,0.0,267.0,98.0,250.0,42.0,0.0,0.0,1.0,454.0,271.0,738.0,172.0,14.0,11.0,3.0,1262.0,104.0,472.0,93.0,3.0,7.0,0.0,863.0,116.0,655.0,207.0,13.0,0.0,0.0,1145.0,57.0,136.0,42.0,0.0,9.0,0.0,407.0,1825.0,3393.0,1339.0,254.0,356.0,8.0,7270.0,7270.0
Shepparton,56.0,34.0,9.0,3.0,0.0,0.0,195.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,13.0,9.0,0.0,0.0,0.0,132.0,23.0,19.0,10.0,3.0,0.0,0.0,168.0,67.0,71.0,16.0,37.0,13.0,0.0,342.0,180.0,178.0,40.0,25.0,12.0,0.0,730.0,205.0,325.0,85.0,46.0,26.0,0.0,883.0,273.0,442.0,93.0,46.0,29.0,4.0,1029.0,144.0,394.0,46.0,29.0,14.0,0.0,794.0,160.0,298.0,59.0,4.0,6.0,0.0,651.0,50.0,194.0,31.0,5.0,4.0,0.0,403.0,86.0,285.0,60.0,6.0,3.0,0.0,549.0,6.0,50.0,0.0,7.0,0.0,0.0,92.0,3.0,30.0,0.0,0.0,0.0,0.0,49.0,35.0,78.0,15.0,0.0,0.0,0.0,170.0,22.0,85.0,16.0,0.0,0.0,0.0,217.0,9.0,39.0,0.0,0.0,0.0,0.0,70.0,3.0,24.0,6.0,0.0,0.0,0.0,55.0,75.0,136.0,24.0,12.0,4.0,0.0,375.0,2076.0,3268.0,1194.0,517.0,384.0,11.0,7581.0,7581.0
South Barwon,36.0,32.0,7.0,0.0,3.0,0.0,208.0,10.0,0.0,5.0,0.0,0.0,0.0,38.0,4.0,7.0,4.0,5.0,0.0,0.0,62.0,9.0,10.0,7.0,0.0,0.0,0.0,48.0,26.0,37.0,22.0,0.0,22.0,0.0,202.0,43.0,72.0,20.0,6.0,0.0,0.0,266.0,45.0,166.0,32.0,0.0,14.0,0.0,477.0,90.0,269.0,44.0,37.0,21.0,0.0,672.0,182.0,281.0,36.0,23.0,16.0,4.0,734.0,279.0,475.0,85.0,23.0,11.0,0.0,1031.0,209.0,465.0,20.0,19.0,6.0,0.0,860.0,323.0,647.0,88.0,14.0,7.0,0.0,1218.0,88.0,290.0,21.0,0.0,0.0,0.0,553.0,50.0,168.0,18.0,4.0,0.0,0.0,311.0,95.0,338.0,40.0,0.0,0.0,0.0,613.0,93.0,332.0,60.0,3.0,0.0,0.0,637.0,8.0,90.0,8.0,0.0,3.0,0.0,202.0,3.0,51.0,15.0,0.0,0.0,0.0,120.0,79.0,141.0,19.0,0.0,11.0,0.0,382.0,2458.0,4633.0,1267.0,460.0,406.0,37.0,9279.0,9279.0
South-West Coast,29.0,23.0,6.0,0.0,0.0,0.0,179.0,11.0,0.0,7.0,0.0,0.0,0.0,33.0,39.0,3.0,4.0,0.0,4.0,0.0,112.0,19.0,8.0,7.0,3.0,0.0,0.0,123.0,61.0,71.0,5.0,19.0,7.0,0.0,327.0,103.0,152.0,66.0,11.0,10.0,0.0,562.0,153.0,229.0,51.0,29.0,29.0,0.0,788.0,204.0,354.0,57.0,27.0,17.0,0.0,842.0,146.0,294.0,50.0,16.0,10.0,0.0,737.0,169.0,299.0,38.0,13.0,0.0,0.0,702.0,38.0,193.0,30.0,11.0,10.0,0.0,363.0,81.0,238.0,47.0,0.0,4.0,0.0,542.0,11.0,54.0,0.0,0.0,0.0,0.0,149.0,8.0,29.0,0.0,0.0,0.0,0.0,71.0,28.0,100.0,6.0,0.0,0.0,0.0,209.0,44.0,85.0,3.0,0.0,0.0,0.0,193.0,5.0,31.0,0.0,0.0,0.0,0.0,55.0,5.0,18.0,10.0,0.0,0.0,0.0,53.0,89.0,106.0,13.0,6.0,5.0,0.0,398.0,2206.0,3079.0,1093.0,415.0,333.0,12.0,7301.0,7301.0
St Albans,52.0,42.0,75.0,14.0,28.0,0.0,358.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,11.0,3.0,8.0,3.0,4.0,0.0,116.0,12.0,9.0,7.0,4.0,3.0,0.0,90.0,16.0,6.0,18.0,6.0,3.0,0.0,165.0,25.0,14.0,25.0,6.0,6.0,0.0,240.0,47.0,115.0,41.0,27.0,32.0,0.0,378.0,75.0,108.0,71.0,4.0,31.0,0.0,518.0,104.0,130.0,27.0,31.0,30.0,0.0,504.0,70.0,183.0,30.0,26.0,14.0,3.0,575.0,46.0,124.0,39.0,17.0,0.0,3.0,397.0,118.0,252.0,69.0,41.0,28.0,0.0,711.0,43.0,86.0,13.0,6.0,0.0,0.0,219.0,26.0,89.0,3.0,0.0,0.0,0.0,163.0,32.0,114.0,9.0,9.0,6.0,0.0,277.0,37.0,159.0,30.0,3.0,10.0,0.0,357.0,13.0,18.0,16.0,0.0,3.0,0.0,90.0,6.0,9.0,8.0,4.0,0.0,0.0,59.0,58.0,130.0,76.0,14.0,32.0,0.0,474.0,1438.0,2352.0,1249.0,576.0,743.0,61.0,6535.0,6535.0
Sunbury,47.0,22.0,21.0,0.0,1.0,0.0,232.0,5.0,6.0,5.0,0.0,0.0,0.0,40.0,4.0,0.0,6.0,0.0,0.0,0.0,63.0,8.0,0.0,0.0,5.0,4.0,0.0,54.0,10.0,14.0,4.0,0.0,4.0,0.0,130.0,54.0,28.0,35.0,7.0,19.0,0.0,282.0,66.0,134.0,40.0,20.0,18.0,0.0,477.0,118.0,170.0,86.0,12.0,21.0,0.0,581.0,149.0,257.0,70.0,43.0,29.0,0.0,739.0,171.0,375.0,83.0,35.0,28.0,3.0,871.0,158.0,337.0,45.0,11.0,0.0,0.0,698.0,277.0,596.0,130.0,21.0,13.0,0.0,1214.0,100.0,242.0,10.0,6.0,0.0,0.0,480.0,82.0,125.0,29.0,0.0,0.0,0.0,338.0,132.0,271.0,41.0,13.0,3.0,0.0,613.0,116.0,230.0,85.0,4.0,0.0,0.0,586.0,9.0,40.0,19.0,0.0,3.0,0.0,179.0,10.0,16.0,10.0,0.0,0.0,0.0,122.0,86.0,202.0,72.0,4.0,3.0,0.0,542.0,2378.0,3716.0,1454.0,477.0,575.0,31.0,8727.0,8727.0
Sydenham,39.0,81.0,71.0,0.0,6.0,0.0,343.0,3.0,0.0,9.0,0.0,0.0,0.0,37.0,15.0,6.0,29.0,0.0,7.0,0.0,127.0,6.0,10.0,3.0,4.0,4.0,0.0,99.0,21.0,43.0,27.0,0.0,6.0,0.0,215.0,25.0,52.0,32.0,7.0,25.0,0.0,289.0,63.0,165.0,77.0,17.0,35.0,0.0,498.0,87.0,235.0,96.0,13.0,15.0,0.0,635.0,66.0,278.0,129.0,14.0,21.0,0.0,738.0,96.0,414.0,121.0,22.0,29.0,0.0,899.0,94.0,351.0,51.0,7.0,8.0,0.0,709.0,252.0,777.0,294.0,19.0,24.0,0.0,1492.0,79.0,325.0,39.0,15.0,5.0,0.0,635.0,50.0,263.0,25.0,0.0,6.0,0.0,467.0,131.0,439.0,82.0,12.0,3.0,4.0,833.0,140.0,441.0,159.0,10.0,3.0,0.0,978.0,16.0,131.0,38.0,0.0,0.0,0.0,266.0,11.0,74.0,16.0,3.0,0.0,0.0,189.0,79.0,326.0,174.0,34.0,48.0,3.0,987.0,2039.0,5314.0,2419.0,575.0,759.0,47.0,11203.0,11203.0
Tarneit,34.0,79.0,31.0,10.0,11.0,0.0,270.0,7.0,3.0,3.0,0.0,0.0,0.0,31.0,10.0,4.0,4.0,0.0,0.0,0.0,70.0,6.0,8.0,3.0,0.0,0.0,0.0,53.0,20.0,29.0,12.0,0.0,8.0,0.0,161.0,36.0,50.0,33.0,6.0,8.0,0.0,309.0,88.0,128.0,40.0,5.0,9.0,0.0,427.0,109.0,343.0,72.0,9.0,12.0,0.0,770.0,154.0,589.0,81.0,32.0,17.0,0.0,1094.0,188.0,856.0,96.0,31.0,16.0,0.0,1437.0,205.0,935.0,66.0,7.0,3.0,0.0,1396.0,343.0,1216.0,141.0,39.0,32.0,3.0,1953.0,119.0,583.0,23.0,3.0,4.0,0.0,909.0,77.0,410.0,19.0,3.0,0.0,0.0,607.0,64.0,363.0,37.0,0.0,9.0,0.0,639.0,55.0,324.0,64.0,9.0,0.0,0.0,605.0,5.0,61.0,6.0,0.0,0.0,0.0,131.0,16.0,60.0,0.0,3.0,0.0,0.0,140.0,87.0,391.0,101.0,18.0,5.0,4.0,821.0,2557.0,7199.0,1660.0,494.0,506.0,31.0,12685.0,12685.0
Thomastown,24.0,57.0,31.0,0.0,4.0,0.0,224.0,0.0,8.0,0.0,0.0,0.0,0.0,25.0,8.0,4.0,0.0,0.0,0.0,0.0,68.0,12.0,5.0,14.0,3.0,0.0,0.0,75.0,6.0,33.0,9.0,4.0,10.0,0.0,139.0,17.0,34.0,13.0,0.0,17.0,0.0,200.0,52.0,82.0,25.0,0.0,20.0,0.0,392.0,38.0,211.0,39.0,15.0,14.0,0.0,511.0,75.0,307.0,47.0,22.0,20.0,0.0,641.0,117.0,438.0,39.0,22.0,18.0,0.0,891.0,113.0,478.0,57.0,14.0,23.0,0.0,819.0,191.0,700.0,99.0,9.0,26.0,3.0,1315.0,107.0,398.0,32.0,0.0,8.0,0.0,698.0,44.0,257.0,13.0,9.0,0.0,0.0,450.0,62.0,290.0,30.0,4.0,0.0,0.0,528.0,61.0,340.0,24.0,4.0,3.0,0.0,604.0,12.0,95.0,8.0,0.0,3.0,0.0,158.0,11.0,57.0,4.0,0.0,0.0,0.0,134.0,69.0,288.0,70.0,12.0,26.0,0.0,668.0,1854.0,4783.0,1252.0,439.0,564.0,38.0,9045.0,9045.0
Warrandyte,82.0,61.0,54.0,0.0,18.0,0.0,373.0,0.0,0.0,11.0,0.0,0.0,0.0,33.0,17.0,4.0,12.0,0.0,0.0,0.0,105.0,15.0,4.0,16.0,0.0,5.0,0.0,115.0,12.0,17.0,17.0,0.0,0.0,0.0,121.0,10.0,30.0,23.0,4.0,0.0,0.0,171.0,49.0,54.0,52.0,0.0,3.0,0.0,281.0,16.0,94.0,37.0,4.0,12.0,0.0,295.0,30.0,59.0,35.0,4.0,15.0,0.0,319.0,30.0,125.0,33.0,0.0,9.0,0.0,311.0,33.0,102.0,24.0,0.0,7.0,0.0,283.0,93.0,365.0,147.0,14.0,19.0,0.0,794.0,36.0,202.0,27.0,0.0,0.0,0.0,392.0,42.0,180.0,35.0,0.0,0.0,0.0,375.0,123.0,393.0,56.0,4.0,0.0,0.0,759.0,238.0,849.0,259.0,12.0,11.0,3.0,1618.0,93.0,422.0,118.0,0.0,5.0,0.0,791.0,66.0,355.0,105.0,6.0,4.0,0.0,771.0,72.0,211.0,108.0,4.0,15.0,0.0,575.0,1959.0,4347.0,2125.0,273.0,420.0,7.0,9301.0,9301.0
Wendouree,38.0,26.0,11.0,4.0,0.0,0.0,144.0,13.0,0.0,1.0,0.0,8.0,0.0,33.0,20.0,3.0,6.0,4.0,11.0,0.0,112.0,8.0,11.0,3.0,0.0,0.0,0.0,56.0,55.0,32.0,21.0,11.0,9.0,0.0,280.0,78.0,137.0,23.0,9.0,28.0,0.0,454.0,121.0,205.0,63.0,35.0,14.0,0.0,604.0,201.0,264.0,68.0,46.0,33.0,0.0,847.0,157.0,270.0,36.0,39.0,10.0,0.0,791.0,166.0,315.0,71.0,16.0,11.0,0.0,705.0,77.0,169.0,16.0,3.0,0.0,0.0,367.0,125.0,249.0,26.0,0.0,4.0,0.0,498.0,7.0,68.0,0.0,0.0,0.0,0.0,129.0,9.0,39.0,0.0,0.0,0.0,0.0,92.0,14.0,73.0,14.0,4.0,0.0,0.0,225.0,38.0,96.0,20.0,0.0,0.0,0.0,264.0,0.0,36.0,3.0,0.0,3.0,0.0,59.0,0.0,31.0,3.0,0.0,0.0,0.0,63.0,57.0,50.0,12.0,4.0,0.0,0.0,264.0,1831.0,2746.0,947.0,423.0,429.0,31.0,6552.0,6552.0
Werribee,35.0,39.0,21.0,3.0,0.0,0.0,208.0,3.0,0.0,0.0,4.0,0.0,0.0,26.0,11.0,0.0,6.0,3.0,3.0,0.0,83.0,12.0,11.0,3.0,0.0,0.0,0.0,91.0,25.0,7.0,9.0,4.0,7.0,3.0,199.0,36.0,62.0,19.0,0.0,10.0,0.0,301.0,64.0,146.0,39.0,15.0,18.0,0.0,476.0,156.0,323.0,86.0,22.0,23.0,0.0,807.0,161.0,513.0,93.0,23.0,24.0,0.0,1133.0,215.0,755.0,111.0,22.0,4.0,0.0,1330.0,295.0,696.0,39.0,14.0,9.0,3.0,1199.0,324.0,868.0,88.0,35.0,8.0,0.0,1577.0,134.0,379.0,36.0,0.0,3.0,0.0,684.0,62.0,295.0,22.0,4.0,0.0,0.0,424.0,98.0,285.0,35.0,4.0,5.0,0.0,558.0,68.0,263.0,44.0,0.0,4.0,0.0,531.0,4.0,34.0,4.0,0.0,0.0,0.0,94.0,6.0,30.0,5.0,0.0,0.0,0.0,85.0,54.0,256.0,66.0,4.0,12.0,0.0,588.0,2712.0,5699.0,1505.0,567.0,607.0,37.0,11239.0,11239.0
Williamstown,42.0,42.0,20.0,0.0,7.0,0.0,247.0,4.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,0.0,0.0,0.0,0.0,27.0,10.0,0.0,11.0,0.0,0.0,0.0,74.0,6.0,6.0,19.0,0.0,0.0,0.0,95.0,18.0,46.0,16.0,0.0,3.0,0.0,224.0,22.0,54.0,19.0,5.0,0.0,0.0,247.0,45.0,69.0,19.0,0.0,3.0,0.0,244.0,47.0,76.0,9.0,6.0,4.0,0.0,302.0,46.0,135.0,4.0,3.0,3.0,0.0,256.0,113.0,313.0,29.0,10.0,0.0,0.0,618.0,88.0,155.0,0.0,0.0,0.0,0.0,359.0,51.0,197.0,12.0,0.0,5.0,0.0,384.0,163.0,356.0,31.0,9.0,10.0,0.0,717.0,335.0,839.0,79.0,3.0,0.0,0.0,1432.0,119.0,399.0,49.0,0.0,0.0,0.0,697.0,53.0,318.0,50.0,0.0,0.0,0.0,529.0,69.0,147.0,38.0,9.0,0.0,0.0,431.0,1979.0,3758.0,987.0,323.0,301.0,10.0,7487.0,7487.0
Yan Yean,25.0,58.0,31.0,0.0,4.0,0.0,203.0,5.0,7.0,3.0,0.0,0.0,0.0,27.0,9.0,3.0,4.0,5.0,0.0,0.0,42.0,12.0,3.0,0.0,0.0,5.0,0.0,57.0,7.0,18.0,7.0,5.0,4.0,0.0,116.0,3.0,77.0,29.0,3.0,11.0,0.0,256.0,55.0,152.0,47.0,8.0,18.0,0.0,432.0,79.0,227.0,46.0,13.0,29.0,0.0,645.0,155.0,412.0,81.0,28.0,40.0,0.0,855.0,177.0,638.0,97.0,25.0,13.0,0.0,1193.0,217.0,650.0,52.0,9.0,18.0,0.0,1112.0,300.0,1003.0,158.0,23.0,26.0,0.0,1732.0,169.0,525.0,35.0,10.0,6.0,0.0,847.0,64.0,416.0,31.0,7.0,0.0,0.0,631.0,149.0,512.0,80.0,10.0,3.0,0.0,870.0,132.0,544.0,118.0,3.0,7.0,0.0,968.0,32.0,119.0,29.0,0.0,0.0,0.0,280.0,33.0,128.0,34.0,0.0,0.0,0.0,261.0,69.0,335.0,86.0,8.0,4.0,0.0,673.0,2516.0,6303.0,1659.0,566.0,580.0,33.0,11697.0,11697.0
