district,census_variable,value,rank
Mill Park,Age_0_4_yr_F_pc,0.0294,61.0
Eureka,Age_0_4_yr_F_pc,0.0295,62.0
Bayswater,Age_0_4_yr_F_pc,0.0296,63.0
Bendigo East,Age_0_4_yr_F_pc,0.0296,64.0
Benambra,Age_0_4_yr_F_pc,0.0297,65.0
Narracan,Age_0_4_yr_F_pc,0.0299,66.0
Williamstown,Age_0_4_yr_F_pc,0.0302,67.0
Sunbury,Age_0_4_yr_F_pc,0.0303,68.0
Croydon,Age_0_4_yr_F_pc,0.0308,69.0
Evelyn,Age_0_4_yr_F_pc,0.0317,70.0
Dandenong,Age_0_4_yr_F_pc,0.0319,71.0
South Barwon,Age_0_4_yr_F_pc,0.032,72.0
Greenvale,Age_0_4_yr_F_pc,0.0321,73.0
Carrum,Age_0_4_yr_F_pc,0.0331,74.0
Narre Warren South,Age_0_4_yr_F_pc,0.0346,75.0
Broadmeadows,Age_0_4_yr_F_pc,0.0351,76.0
Kororoit,Age_0_4_yr_F_pc,0.0355,77.0
