district,Tot_P_M_pc,Tot_P_F_pc,Tot_P_P_pc,Age_0_4_yr_M_pc,Age_0_4_yr_F_pc,Age_0_4_yr_P_pc,Age_5_14_yr_M_pc,Age_5_14_yr_F_pc,Age_5_14_yr_P_pc,Age_15_19_yr_M_pc,Age_15_19_yr_F_pc,Age_15_19_yr_P_pc,Age_20_24_yr_M_pc,Age_20_24_yr_F_pc,Age_20_24_yr_P_pc,Age_25_34_yr_M_pc,Age_25_34_yr_F_pc,Age_25_34_yr_P_pc,Age_35_44_yr_M_pc,Age_35_44_yr_F_pc,Age_35_44_yr_P_pc,Age_45_54_yr_M_pc,Age_45_54_yr_F_pc,Age_45_54_yr_P_pc,Age_55_64_yr_M_pc,Age_55_64_yr_F_pc,Age_55_64_yr_P_pc,Age_65_74_yr_M_pc,Age_65_74_yr_F_pc,Age_65_74_yr_P_pc,Age_75_84_yr_M_pc,Age_75_84_yr_F_pc,Age_75_84_yr_P_pc,Age_85ov_M_pc,Age_85ov_F_pc,Age_85ov_P_pc,Counted_Census_Night_home_M_pc,Counted_Census_Night_home_F_pc,Counted_Census_Night_home_P_pc,Count_Census_Nt_Ewhere_Aust_M_pc,Count_Census_Nt_Ewhere_Aust_F_pc,Count_Census_Nt_Ewhere_Aust_P_pc,Indigenous_psns_Aboriginal_M_pc,Indigenous_psns_Aboriginal_F_pc,Indigenous_psns_Aboriginal_P_pc,Indig_psns_Torres_Strait_Is_M_pc,Indig_psns_Torres_Strait_Is_F_pc,Indig_psns_Torres_Strait_Is_P_pc,Indig_Bth_Abor_Torres_St_Is_M_pc,Indig_Bth_Abor_Torres_St_Is_F_pc,Indig_Bth_Abor_Torres_St_Is_P_pc,Indigenous_P_Tot_M_pc,Indigenous_P_Tot_F_pc,Indigenous_P_Tot_P_pc,Birthplace_Australia_M_pc,Birthplace_Australia_F_pc,Birthplace_Australia_P_pc,Birthplace_Elsewhere_M_pc,Birthplace_Elsewhere_F_pc,Birthplace_Elsewhere_P_pc,Lang_used_home_Eng_only_M_pc,Lang_used_home_Eng_only_F_pc,Lang_used_home_Eng_only_P_pc,Lang_used_home_Oth_Lang_M_pc,Lang_used_home_Oth_Lang_F_pc,Lang_used_home_Oth_Lang_P_pc,Australian_citizen_M_pc,Australian_citizen_F_pc,Australian_citizen_P_pc,Age_psns_att_educ_inst_0_4_M_pc,Age_psns_att_educ_inst_0_4_F_pc,Age_psns_att_educ_inst_0_4_P_pc,Age_psns_att_educ_inst_5_14_M_pc,Age_psns_att_educ_inst_5_14_F_pc,Age_psns_att_educ_inst_5_14_P_pc,Age_psns_att_edu_inst_15_19_M_pc,Age_psns_att_edu_inst_15_19_F_pc,Age_psns_att_edu_inst_15_19_P_pc,Age_psns_att_edu_inst_20_24_M_pc,Age_psns_att_edu_inst_20_24_F_pc,Age_psns_att_edu_inst_20_24_P_pc,Age_psns_att_edu_inst_25_ov_M_pc,Age_psns_att_edu_inst_25_ov_F_pc,Age_psns_att_edu_inst_25_ov_P_pc,High_yr_schl_comp_Yr_12_eq_M_pc,High_yr_schl_comp_Yr_12_eq_F_pc,High_yr_schl_comp_Yr_12_eq_P_pc,High_yr_schl_comp_Yr_11_eq_M_pc,High_yr_schl_comp_Yr_11_eq_F_pc,High_yr_schl_comp_Yr_11_eq_P_pc,High_yr_schl_comp_Yr_10_eq_M_pc,High_yr_schl_comp_Yr_10_eq_F_pc,High_yr_schl_comp_Yr_10_eq_P_pc,High_yr_schl_comp_Yr_9_eq_M_pc,High_yr_schl_comp_Yr_9_eq_F_pc,High_yr_schl_comp_Yr_9_eq_P_pc,High_yr_schl_comp_Yr_8_belw_M_pc,High_yr_schl_comp_Yr_8_belw_F_pc,High_yr_schl_comp_Yr_8_belw_P_pc,High_yr_schl_comp_D_n_g_sch_M_pc,High_yr_schl_comp_D_n_g_sch_F_pc,High_yr_schl_comp_D_n_g_sch_P_pc,Count_psns_occ_priv_dwgs_M_pc,Count_psns_occ_priv_dwgs_F_pc,Count_psns_occ_priv_dwgs_P_pc,Count_Persons_other_dwgs_M_pc,Count_Persons_other_dwgs_F_pc,Count_Persons_other_dwgs_P_pc,Tot_P_P_total
South Barwon,0.4854,0.5133,1.0,0.0342,0.032,0.0673,0.0649,0.0616,0.1274,0.0305,0.0296,0.0604,0.04,0.039,0.079,0.0796,0.0801,0.1588,0.0656,0.071,0.1378,0.0534,0.0587,0.1118,0.0454,0.0523,0.0967,0.0382,0.0457,0.0843,0.0242,0.0283,0.0523,0.0091,0.0152,0.0245,0.4682,0.498,0.9662,0.0178,0.0161,0.0335,0.0039,0.0049,0.009,0.0,0.0001,0.0002,0.0,0.0,0.0,0.0043,0.0049,0.0094,0.3786,0.4091,0.7879,0.0907,0.0893,0.179,0.4061,0.4384,0.8442,0.062,0.0584,0.1207,0.4244,0.4586,0.8824,0.0105,0.0093,0.0209,0.0626,0.0595,0.1221,0.0232,0.0252,0.0487,0.0193,0.0207,0.0397,0.0191,0.0278,0.0465,0.2305,0.2653,0.4949,0.0542,0.0519,0.1058,0.0511,0.0498,0.1015,0.0205,0.0206,0.0408,0.0108,0.013,0.024,0.001,0.0007,0.0024,0.4518,0.4789,0.9302,0.0264,0.031,0.0576,72790.0
South-West Coast,0.4881,0.5109,1.0,0.0262,0.024,0.0506,0.0639,0.0594,0.1237,0.0298,0.0285,0.059,0.0245,0.0231,0.0477,0.0557,0.0571,0.1123,0.0548,0.0588,0.1128,0.0616,0.067,0.129,0.0684,0.0738,0.1415,0.0637,0.0646,0.1269,0.0305,0.0353,0.0659,0.0096,0.0175,0.0283,0.4654,0.4892,0.955,0.0229,0.0218,0.0446,0.0095,0.0095,0.0202,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0104,0.0098,0.0213,0.4133,0.434,0.8466,0.0426,0.0459,0.0887,0.4388,0.4606,0.8992,0.0189,0.0212,0.0394,0.438,0.4617,0.8995,0.0065,0.0067,0.0137,0.0592,0.0551,0.1134,0.0209,0.0213,0.0428,0.0053,0.0065,0.0113,0.0102,0.0193,0.0296,0.1514,0.2011,0.3523,0.0718,0.0729,0.1432,0.0807,0.0688,0.1497,0.0389,0.0309,0.069,0.0243,0.0212,0.0463,0.001,0.0006,0.0023,0.447,0.4692,0.9156,0.0382,0.0382,0.0761,69928.0
St Albans,0.4997,0.5007,1.0,0.0293,0.027,0.0545,0.0576,0.0539,0.1125,0.0294,0.0277,0.0564,0.0375,0.0346,0.0723,0.0839,0.0781,0.1621,0.0641,0.066,0.1304,0.0593,0.0634,0.1218,0.0588,0.0592,0.1175,0.047,0.0503,0.0971,0.0254,0.0272,0.0526,0.0081,0.0133,0.0215,0.4901,0.4909,0.9814,0.0096,0.0092,0.0187,0.0011,0.0014,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0015,0.0038,0.2017,0.1918,0.3939,0.2595,0.2746,0.5342,0.1431,0.1307,0.2738,0.3168,0.3332,0.6495,0.3704,0.3793,0.7492,0.0058,0.0059,0.013,0.0519,0.0484,0.1012,0.0233,0.0241,0.0469,0.0168,0.0173,0.034,0.0194,0.0258,0.0456,0.2267,0.2258,0.4508,0.0347,0.0304,0.0648,0.0449,0.0406,0.0847,0.0211,0.0222,0.0434,0.0321,0.0464,0.0789,0.0155,0.0215,0.0377,0.4642,0.4661,0.9302,0.036,0.0347,0.0705,74213.0
Sunbury,0.4927,0.5074,1.0,0.0319,0.0303,0.0617,0.0614,0.0589,0.1208,0.0297,0.0259,0.0557,0.0305,0.0273,0.0577,0.0757,0.0758,0.1513,0.0673,0.0701,0.1372,0.0622,0.0656,0.1287,0.0575,0.0627,0.1208,0.0456,0.0524,0.0984,0.0238,0.0258,0.0494,0.0058,0.0095,0.0163,0.48,0.4964,0.9762,0.0126,0.0116,0.0245,0.0051,0.004,0.0104,0.0001,0.0001,0.0003,0.0001,0.0001,0.0003,0.0056,0.0047,0.0105,0.3662,0.3731,0.7387,0.1045,0.1134,0.2171,0.3882,0.3953,0.7845,0.0811,0.0907,0.1719,0.4362,0.4496,0.8855,0.0083,0.0089,0.0179,0.0587,0.0547,0.1135,0.0217,0.0216,0.0431,0.01,0.0103,0.0204,0.0126,0.022,0.0342,0.2,0.2344,0.435,0.0598,0.0555,0.1157,0.0709,0.0595,0.1309,0.0275,0.0228,0.0507,0.0176,0.0197,0.0378,0.0026,0.003,0.0074,0.4672,0.4848,0.9518,0.0242,0.0225,0.0463,63255.0
Sydenham,0.4957,0.5047,1.0,0.0306,0.0293,0.0591,0.0732,0.0699,0.1436,0.0376,0.0362,0.075,0.0364,0.033,0.0701,0.0672,0.0674,0.1342,0.0712,0.0766,0.1478,0.0714,0.0777,0.1494,0.056,0.0583,0.1146,0.0329,0.0338,0.0686,0.0142,0.0152,0.029,0.003,0.006,0.0091,0.4878,0.4976,0.9856,0.0067,0.0067,0.014,0.0013,0.0023,0.0037,0.0,0.0,0.0001,0.0,0.0,0.0,0.0014,0.0023,0.0039,0.2975,0.2952,0.5933,0.1801,0.1918,0.3731,0.26,0.2538,0.5137,0.2165,0.2309,0.447,0.4319,0.4376,0.8702,0.0085,0.0082,0.017,0.0697,0.0665,0.1357,0.0314,0.0317,0.0626,0.0162,0.0166,0.0326,0.0124,0.0205,0.0326,0.2346,0.2601,0.4949,0.0444,0.0387,0.0836,0.0506,0.041,0.0919,0.021,0.0171,0.0379,0.0192,0.0247,0.0431,0.0055,0.0079,0.0128,0.4779,0.4858,0.9638,0.0156,0.0167,0.0327,77382.0
Tarneit,0.5063,0.4937,1.0,0.0452,0.0424,0.0872,0.0826,0.0788,0.1623,0.0302,0.0266,0.0564,0.0368,0.0302,0.0662,0.0864,0.0915,0.1777,0.0952,0.0886,0.1839,0.0532,0.0501,0.1022,0.0394,0.0421,0.0816,0.0258,0.028,0.0537,0.0105,0.011,0.0217,0.0014,0.0028,0.0054,0.4983,0.4867,0.9856,0.0072,0.0071,0.0148,0.0025,0.0031,0.0055,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0026,0.0032,0.0057,0.2259,0.2248,0.4502,0.2515,0.2429,0.4953,0.2036,0.1987,0.4025,0.2706,0.2648,0.5358,0.3596,0.3501,0.7106,0.0118,0.0106,0.0222,0.0758,0.0721,0.1477,0.0236,0.0223,0.0459,0.0174,0.0147,0.0315,0.0225,0.032,0.0533,0.2414,0.24,0.4816,0.0324,0.0316,0.0636,0.0441,0.0391,0.0831,0.017,0.0161,0.034,0.0126,0.0154,0.0284,0.0039,0.0059,0.011,0.48,0.4698,0.9492,0.0246,0.0224,0.047,93203.0
Thomastown,0.5013,0.4989,1.0,0.0402,0.0369,0.0768,0.0708,0.0647,0.1351,0.0253,0.0241,0.0497,0.0331,0.029,0.0632,0.0841,0.0867,0.1703,0.0861,0.0815,0.1676,0.0544,0.0515,0.107,0.0428,0.0459,0.087,0.0349,0.0411,0.077,0.0221,0.0256,0.048,0.0077,0.0101,0.0178,0.4934,0.4909,0.9838,0.0075,0.0074,0.0155,0.0025,0.0028,0.0063,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.003,0.003,0.0071,0.2363,0.2277,0.4642,0.2404,0.2474,0.4882,0.1617,0.1553,0.3177,0.3121,0.3174,0.63,0.389,0.3906,0.779,0.0103,0.0092,0.0206,0.0658,0.06,0.1251,0.0204,0.0206,0.0414,0.0156,0.0138,0.0285,0.0202,0.027,0.0473,0.2296,0.2329,0.4615,0.0317,0.0287,0.0595,0.043,0.0358,0.0798,0.02,0.0192,0.0397,0.0319,0.0414,0.0735,0.0103,0.0165,0.0276,0.4794,0.4772,0.9572,0.0237,0.0222,0.0461,77902.0
Warrandyte,0.4876,0.5123,1.0,0.0216,0.0228,0.0452,0.0703,0.0636,0.1333,0.0363,0.0316,0.0687,0.0327,0.0281,0.0604,0.044,0.0459,0.0894,0.059,0.068,0.1266,0.0705,0.0769,0.1468,0.0629,0.0685,0.1318,0.0479,0.0555,0.1033,0.0311,0.0366,0.0675,0.0101,0.0142,0.0258,0.4742,0.4985,0.972,0.0129,0.0135,0.0268,0.0012,0.0011,0.0029,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0014,0.0012,0.0032,0.3191,0.3254,0.6438,0.155,0.1735,0.328,0.3308,0.335,0.6667,0.1428,0.1623,0.305,0.4199,0.4361,0.8545,0.0076,0.0075,0.016,0.0682,0.0624,0.1295,0.0324,0.0289,0.0612,0.0163,0.0156,0.0331,0.0129,0.0198,0.0334,0.2601,0.2863,0.5469,0.0449,0.0435,0.0892,0.0419,0.0411,0.0827,0.0186,0.0178,0.0367,0.0133,0.0179,0.0311,0.0019,0.0033,0.0062,0.4673,0.4887,0.9551,0.0128,0.0174,0.0318,73809.0
Wendouree,0.4767,0.5235,1.0,0.0283,0.0282,0.057,0.0649,0.0598,0.1244,0.0316,0.03,0.0624,0.0308,0.033,0.0643,0.0678,0.0696,0.1378,0.0549,0.064,0.119,0.0571,0.0624,0.1204,0.0547,0.0627,0.1179,0.0481,0.0579,0.1057,0.0289,0.036,0.0643,0.0092,0.018,0.0282,0.4574,0.5053,0.9629,0.0188,0.0183,0.0367,0.0084,0.0087,0.0178,0.0003,0.0001,0.0002,0.0001,0.0,0.0001,0.0092,0.0091,0.0191,0.3954,0.4345,0.8313,0.0541,0.0613,0.116,0.415,0.4597,0.8747,0.0359,0.0375,0.0735,0.4288,0.4718,0.9012,0.0078,0.0081,0.0165,0.0588,0.0564,0.1156,0.023,0.0233,0.0463,0.0087,0.014,0.022,0.0136,0.0252,0.0388,0.1815,0.2213,0.4027,0.0554,0.0617,0.1178,0.0678,0.0682,0.1371,0.0306,0.0311,0.0625,0.02,0.0234,0.0427,0.001,0.0012,0.0032,0.4412,0.4848,0.9251,0.0347,0.037,0.0723,68381.0
Werribee,0.4941,0.5069,1.0,0.0435,0.0402,0.0835,0.0751,0.072,0.1474,0.029,0.0267,0.056,0.0321,0.0312,0.0644,0.0821,0.0947,0.1776,0.087,0.0822,0.1687,0.0537,0.0558,0.1101,0.0441,0.0475,0.091,0.0302,0.0315,0.0607,0.0132,0.0159,0.0294,0.004,0.0074,0.0119,0.4844,0.4972,0.982,0.0099,0.0089,0.0185,0.0065,0.0076,0.0151,0.0,0.0,0.0,0.0,0.0,0.0002,0.0066,0.0077,0.0155,0.2793,0.2843,0.564,0.1875,0.1945,0.382,0.2837,0.2895,0.5733,0.1795,0.1864,0.3656,0.3793,0.3849,0.7641,0.0113,0.0097,0.0212,0.0689,0.0662,0.135,0.0223,0.0214,0.0436,0.0105,0.0126,0.0234,0.0164,0.0291,0.0449,0.2038,0.2283,0.4315,0.0445,0.0417,0.0859,0.0574,0.0505,0.1082,0.0232,0.0218,0.0452,0.0152,0.0181,0.0345,0.0065,0.0083,0.0146,0.4652,0.4766,0.9425,0.0283,0.0298,0.0593,84210.0
Williamstown,0.4878,0.5117,1.0,0.0344,0.0302,0.0644,0.0644,0.0632,0.1278,0.025,0.024,0.0489,0.0235,0.022,0.0461,0.0616,0.0668,0.1284,0.078,0.0824,0.1606,0.071,0.0751,0.1465,0.0576,0.0588,0.1158,0.0401,0.0447,0.0844,0.0234,0.029,0.0516,0.0089,0.0163,0.0252,0.4732,0.4979,0.9718,0.0136,0.0141,0.0293,0.0025,0.0019,0.0052,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0029,0.0023,0.006,0.3399,0.3494,0.6888,0.1269,0.1422,0.2692,0.3602,0.3659,0.7265,0.1057,0.1251,0.2311,0.4232,0.4455,0.8686,0.0102,0.0101,0.0205,0.0608,0.0603,0.1215,0.0208,0.0208,0.0421,0.0112,0.0107,0.0225,0.0151,0.0249,0.0397,0.246,0.2782,0.5234,0.0409,0.0347,0.0765,0.0428,0.0352,0.0783,0.0174,0.0177,0.0349,0.0176,0.0247,0.0419,0.004,0.007,0.0115,0.4598,0.4836,0.9436,0.0228,0.0222,0.0453,66086.0
Yan Yean,0.4921,0.5082,1.0,0.0429,0.0396,0.0836,0.0856,0.0821,0.1683,0.0322,0.0299,0.0618,0.0281,0.027,0.055,0.0682,0.0764,0.1447,0.0859,0.0905,0.1756,0.0623,0.0646,0.1268,0.0396,0.0443,0.0846,0.0295,0.0342,0.0632,0.0138,0.0135,0.0279,0.0025,0.0041,0.0071,0.4816,0.4974,0.9786,0.0108,0.0097,0.0214,0.0061,0.0055,0.0129,0.0001,0.0001,0.0003,0.0,0.0001,0.0002,0.0065,0.0064,0.0139,0.3514,0.3649,0.7167,0.1206,0.124,0.2454,0.3479,0.3605,0.708,0.1236,0.1276,0.2506,0.4272,0.4404,0.8682,0.0141,0.0114,0.0263,0.081,0.0772,0.1587,0.0254,0.0253,0.0501,0.0093,0.0114,0.0213,0.0137,0.0237,0.037,0.2036,0.2413,0.4441,0.0475,0.0456,0.0931,0.0568,0.047,0.1044,0.0241,0.0193,0.0427,0.0115,0.0136,0.0252,0.001,0.0019,0.0038,0.4706,0.4858,0.9566,0.0168,0.0184,0.0344,72692.0
