district,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total,Total_Total_total
Narracan,Null,6168.0,6168.0,8663.0,334.0,9109.0,3549.0,6.0,3586.0,3541.0,3.0,3574.0,1680.0,9.0,1688.0,814.0,0.0,809.0,18269.0,6616.0,24893.0,24893.0
Narre Warren North,Null,4422.0,4422.0,7201.0,412.0,7689.0,4765.0,57.0,4869.0,4872.0,32.0,4911.0,2171.0,3.0,2187.0,1438.0,0.0,1444.0,20401.0,5142.0,25583.0,25583.0
Narre Warren South,Null,3361.0,3361.0,5718.0,343.0,6051.0,5136.0,62.0,5257.0,6097.0,17.0,6160.0,2919.0,0.0,2939.0,2337.0,0.0,2341.0,22239.0,3956.0,26214.0,26214.0
Nepean,Null,7734.0,7734.0,9769.0,469.0,10260.0,2968.0,31.0,3034.0,2612.0,4.0,2635.0,989.0,0.0,998.0,324.0,0.0,327.0,16748.0,8289.0,25098.0,25098.0
Niddrie,Null,5845.0,5845.0,7829.0,418.0,8170.0,4359.0,26.0,4466.0,4745.0,3.0,4771.0,1620.0,0.0,1638.0,522.0,0.0,534.0,19111.0,6326.0,25477.0,25477.0
Northcote,Null,8919.0,8919.0,7772.0,1114.0,8852.0,3749.0,662.0,4445.0,3837.0,215.0,4171.0,1075.0,33.0,1130.0,230.0,0.0,249.0,16672.0,11070.0,27780.0,27780.0
Oakleigh,Null,9516.0,9516.0,9654.0,1475.0,11124.0,5227.0,642.0,5935.0,4898.0,369.0,5340.0,1474.0,129.0,1609.0,482.0,77.0,571.0,21681.0,12469.0,34198.0,34198.0
Ovens Valley,Null,7497.0,7497.0,9249.0,446.0,9681.0,2856.0,28.0,2924.0,2743.0,7.0,2753.0,1386.0,0.0,1400.0,522.0,5.0,535.0,16827.0,8079.0,24857.0,24857.0
Pakenham,Null,5172.0,5172.0,7081.0,487.0,7652.0,4604.0,42.0,4708.0,4931.0,14.0,4980.0,2100.0,0.0,2105.0,1275.0,0.0,1281.0,20012.0,5891.0,25841.0,25841.0
Pascoe Vale,Null,7420.0,7420.0,7639.0,988.0,8704.0,4108.0,489.0,4629.0,4312.0,173.0,4487.0,1181.0,38.0,1240.0,388.0,5.0,406.0,17636.0,9224.0,26910.0,26910.0
Point Cook,Null,4722.0,4722.0,7177.0,520.0,7684.0,6312.0,91.0,6482.0,7274.0,30.0,7377.0,2421.0,17.0,2466.0,1204.0,3.0,1199.0,24390.0,5494.0,29916.0,29916.0
Polwarth,Null,7086.0,7086.0,9094.0,557.0,9691.0,3331.0,79.0,3498.0,3663.0,38.0,3715.0,1685.0,7.0,1697.0,568.0,4.0,572.0,18449.0,7834.0,26271.0,26271.0
